PERIODO,ENTIDAD,MINIMA,MEDIA,MAXIMA,PRECIPITACION
1999-06-01T00:00:00,Estado de México,9.4,16.2,23,82.8
1999-07-01T00:00:00,Estado de México,8.5,15.3,22.2,116.2
1999-08-01T00:00:00,Estado de México,8.9,15.3,21.8,172.9
1999-09-01T00:00:00,Estado de México,8.4,14.9,21.4,78.6
1999-10-01T00:00:00,Estado de México,6.6,13.8,21.1,65
1999-11-01T00:00:00,Estado de México,4.3,12.8,21.3,6
1999-12-01T00:00:00,Estado de México,1.7,10.8,19.9,2.3
2000-01-01T00:00:00,Estado de México,1.9,11.4,20.9,0.1
2000-02-01T00:00:00,Estado de México,3.1,12.8,22.4,3.9
2000-03-01T00:00:00,Estado de México,4.5,14.1,23.6,7.8
2000-04-01T00:00:00,Estado de México,6.6,15.9,25.3,7.8
2000-05-01T00:00:00,Estado de México,7.7,15.8,24,84.5
2000-06-01T00:00:00,Estado de México,9.1,15.6,22.1,176
2000-07-01T00:00:00,Estado de México,8.2,15.2,22.2,100.1
2000-08-01T00:00:00,Estado de México,8.4,15.1,21.8,125.5
2000-09-01T00:00:00,Estado de México,8.3,14.9,21.5,99.3
2000-10-01T00:00:00,Estado de México,6.3,13.8,21.4,52.5
2000-11-01T00:00:00,Estado de México,4.4,12.8,21.1,9.1
2000-12-01T00:00:00,Estado de México,2.2,11.1,20.1,1.2
2001-01-01T00:00:00,Estado de México,1.9,11.2,20.6,4.6
2001-02-01T00:00:00,Estado de México,3.5,12.5,21.6,6.2
2001-03-01T00:00:00,Estado de México,4.6,14.1,23.5,16.3
2001-04-01T00:00:00,Estado de México,6.6,15.8,24.9,40.5
2001-05-01T00:00:00,Estado de México,7.4,15.9,24.4,55.1
2001-06-01T00:00:00,Estado de México,8.5,15.5,22.6,143.7
2001-07-01T00:00:00,Estado de México,8.3,15,21.7,146.8
2001-08-01T00:00:00,Estado de México,8.2,15.1,22,153.3
2001-09-01T00:00:00,Estado de México,8.5,14.9,21.2,135
2001-10-01T00:00:00,Estado de México,6.6,14,21.3,34.2
2001-11-01T00:00:00,Estado de México,3.7,11.8,19.9,6.3
2001-12-01T00:00:00,Estado de México,2.5,11.3,20.1,0.9
2002-01-01T00:00:00,Estado de México,1.9,10.9,19.9,12.5
2002-02-01T00:00:00,Estado de México,3.3,12.5,21.8,6.8
2002-03-01T00:00:00,Estado de México,4.9,14.5,24,9.1
2002-04-01T00:00:00,Estado de México,7,16,25.1,26.8
2002-05-01T00:00:00,Estado de México,8.2,16.9,25.7,21.8
2002-06-01T00:00:00,Estado de México,9.2,15.9,22.6,86
2002-07-01T00:00:00,Estado de México,8.8,15.4,22.1,151.1
2002-08-01T00:00:00,Estado de México,8.5,15.3,22.2,87.9
2002-09-01T00:00:00,Estado de México,9.5,15.6,21.8,191.1
2002-10-01T00:00:00,Estado de México,7.9,15,22.1,72.9
2002-11-01T00:00:00,Estado de México,4.9,13.1,21.3,37.2
2002-12-01T00:00:00,Estado de México,1.9,11.1,20.4,0.3
2003-01-01T00:00:00,Estado de México,2.7,11.2,19.8,2.1
2003-02-01T00:00:00,Estado de México,3.1,12.8,22.6,0.7
2003-03-01T00:00:00,Estado de México,5.4,14.7,24.1,5
2003-04-01T00:00:00,Estado de México,7.4,16.2,25.1,14.5
2003-05-01T00:00:00,Estado de México,8.8,17.1,25.5,17.6
2003-06-01T00:00:00,Estado de México,9.9,16.2,22.6,154.7
2003-07-01T00:00:00,Estado de México,9.1,15.9,22.7,130.7
2003-08-01T00:00:00,Estado de México,9.1,16.1,23,141.8
2003-09-01T00:00:00,Estado de México,10,16.2,22.5,161
2003-10-01T00:00:00,Estado de México,8.6,15.7,22.7,65.4
2003-11-01T00:00:00,Estado de México,5.9,14.7,23.6,14.5
2003-12-01T00:00:00,Estado de México,2.7,12.1,21.6,0
2004-01-01T00:00:00,Estado de México,3.3,12.1,20.9,16.1
2004-02-01T00:00:00,Estado de México,4.1,13.5,22.9,0
2004-03-01T00:00:00,Estado de México,6.5,15.5,24.5,0
2004-04-01T00:00:00,Estado de México,8.2,17.2,26.2,11.4
2004-05-01T00:00:00,Estado de México,9.1,17.4,25.8,60.4
2004-06-01T00:00:00,Estado de México,10.5,17.5,24.5,176.9
2004-07-01T00:00:00,Estado de México,9.8,16.7,23.5,119.8
2004-08-01T00:00:00,Estado de México,9.9,16.6,23.3,155.6
2004-09-01T00:00:00,Estado de México,9.6,16.2,22.7,133.6
2004-10-01T00:00:00,Estado de México,8.7,15.7,22.8,70.8
2004-11-01T00:00:00,Estado de México,5.8,14.6,23.4,4.9
2004-12-01T00:00:00,Estado de México,4.4,13.3,22.2,1.6
2005-01-01T00:00:00,Estado de México,2.9,12.1,21.4,9.4
2005-02-01T00:00:00,Estado de México,4.9,14,23.1,3.4
2005-03-01T00:00:00,Estado de México,6.7,16,25.4,4.5
2005-04-01T00:00:00,Estado de México,8.9,18.1,27.3,8.9
2005-05-01T00:00:00,Estado de México,9.8,17.9,26,16.3
2005-06-01T00:00:00,Estado de México,10.8,17.9,25.1,58.2
2005-07-01T00:00:00,Estado de México,10.3,16.8,23.3,145.5
2005-08-01T00:00:00,Estado de México,10.2,16.3,22.5,149.8
2005-09-01T00:00:00,Estado de México,9.9,16.3,22.7,71.6
2005-10-01T00:00:00,Estado de México,8.9,15.6,22.4,72.4
2005-11-01T00:00:00,Estado de México,5.1,13.2,21.3,8
2005-12-01T00:00:00,Estado de México,3.6,12.3,21.1,1.1
2006-01-01T00:00:00,Estado de México,3.3,12.2,21.1,3.1
2006-02-01T00:00:00,Estado de México,4.4,13.5,22.7,1.6
2006-03-01T00:00:00,Estado de México,6,15.4,24.7,6.8
2006-04-01T00:00:00,Estado de México,8.2,17,25.7,24.6
2006-05-01T00:00:00,Estado de México,9.6,17.2,24.9,76.1
2006-06-01T00:00:00,Estado de México,9.6,16.8,23.9,67.3
2006-07-01T00:00:00,Estado de México,10,16.3,22.6,137.9
2006-08-01T00:00:00,Estado de México,9.9,16,22.1,170.4
2006-09-01T00:00:00,Estado de México,9.8,16,22.1,124.6
2006-10-01T00:00:00,Estado de México,7.3,14.2,21.2,74.1
2006-11-01T00:00:00,Estado de México,4,12.3,20.7,31.9
2006-12-01T00:00:00,Estado de México,3.1,11.7,20.3,0.7
2007-01-01T00:00:00,Estado de México,3.6,12.1,20.7,5
2007-02-01T00:00:00,Estado de México,4,13.3,22.6,13.3
2007-03-01T00:00:00,Estado de México,5.6,14.5,23.4,17
2007-04-01T00:00:00,Estado de México,8.3,16.7,25.1,28.5
2007-05-01T00:00:00,Estado de México,9.2,17,24.8,55.7
2007-06-01T00:00:00,Estado de México,9.4,16.4,23.4,125
2007-07-01T00:00:00,Estado de México,9.7,15.8,22,206.8
2007-08-01T00:00:00,Estado de México,10.1,16.4,22.7,184.3
2007-09-01T00:00:00,Estado de México,9.8,15.7,21.6,163.9
2007-10-01T00:00:00,Estado de México,6.5,13.6,20.8,65.9
2007-11-01T00:00:00,Estado de México,3.2,12.1,21,8.8
2007-12-01T00:00:00,Estado de México,2.9,11.7,20.5,2.1
2008-01-01T00:00:00,Estado de México,2.7,11.3,19.9,0.2
2008-02-01T00:00:00,Estado de México,3.8,13.2,22.7,1.1
2008-03-01T00:00:00,Estado de México,5.4,14.6,23.8,1.9
2008-04-01T00:00:00,Estado de México,8.2,17,25.9,32.1
2008-05-01T00:00:00,Estado de México,9.2,16.9,24.7,25.9
2008-06-01T00:00:00,Estado de México,9.9,16.5,23.2,154.1
2008-07-01T00:00:00,Estado de México,9.4,15.5,21.6,158.7
2008-08-01T00:00:00,Estado de México,10.1,16.5,22.8,171.9
2008-09-01T00:00:00,Estado de México,10.3,15.6,20.9,99.4
2008-10-01T00:00:00,Estado de México,8.3,14.8,21.4,34.3
2008-11-01T00:00:00,Estado de México,4.1,12.3,20.5,0
2008-12-01T00:00:00,Estado de México,3,11.5,20,0
2009-01-01T00:00:00,Estado de México,2.8,10.2,17.7,10
2009-02-01T00:00:00,Estado de México,3.9,12.2,20.5,5.2
